Platan SKU	Qty
2014968057 	2
2015341406 	1
2014969669 	1
403869617 	1
2014859847 	3
2015697923 	1
38409 	1
2016862973 	1
2010220531 	1
2010018418 	1
2014969702 	1
344157231 	1
