Designator,Mid X,Mid Y,Rotation,Layer
C1,102.173,-92.854,180.0,top
C2,105.283,-84.963,270.0,top
C3,112.776,-83.185,90.0,top
C4,114.427,-111.887,0.0,top
C5,141.927,-89.789,180.0,top
D1,105.64,-104.799,270.0,top
D2,142.846,-102.002,90.0,top
D3,150.373,-97.379,90.0,top
D4,141.097,-80.645,180.0,top
F1,97.573,-95.854,270.0,top
L1,123.273,-87.376,90.0,top
R1,124.016,-111.887,0.0,top
R2,119.444,-111.887,0.0,top
R3,150.368,-91.059,270.0,top
U1,130.078,-104.042,0.0,top
